Filename,Width Min-Degree,Time Min-Degree,Width Min-Fill-in,Time Min-Fill-in,Width MCS,Time MCS
ER_1000_0.75_20.al,988,1.377536,987,8.738816,994,2.373632
ER_1000_0.75_21.al,988,1.395200,988,8.685312,994,2.294528
ER_1000_0.75_22.al,989,1.389568,989,8.615680,993,2.294016
ER_1000_0.75_23.al,989,1.402624,989,8.746752,995,2.292480
ER_1000_0.75_24.al,988,1.390080,988,8.890112,993,2.332416
ER_1000_0.75_25.al,988,1.386752,988,8.721152,994,2.302976
ER_1000_0.75_26.al,989,1.394176,989,9.458688,993,2.298112
ER_1000_0.75_27.al,989,1.385216,987,9.403392,994,2.256128
ER_1000_0.75_28.al,989,1.394432,987,9.430784,994,2.307072
ER_1000_0.75_29.al,989,1.391616,989,9.532928,993,2.306816
ER_1000_0.75_2.al,988,1.382656,988,8.703232,993,2.333184
ER_1000_0.75_30.al,989,1.387008,989,8.661248,994,2.287360
ER_1000_0.75_31.al,989,1.388800,989,8.602880,993,2.326016
ER_1000_0.75_32.al,988,1.390848,988,8.630528,993,2.288640
ER_1000_0.75_33.al,989,1.375488,988,8.623872,994,2.318336
ER_1000_0.75_34.al,990,1.385728,989,9.425664,994,2.295552
ER_1000_0.75_35.al,990,1.382144,987,8.658176,993,2.311168
ER_1000_0.75_36.al,988,1.382912,988,8.645632,994,2.306560
ER_1000_0.75_37.al,989,1.385216,988,8.672000,994,2.337280
ER_1000_0.75_38.al,988,1.394432,988,8.603648,994,2.320384
ER_1000_0.75_39.al,989,1.377536,988,8.641536,994,2.265856
ER_1000_0.75_3.al,989,1.376768,988,8.664320,994,2.307584
ER_1000_0.75_40.al,988,1.391104,989,8.715520,995,2.324992
ER_1000_0.75_41.al,989,1.387264,988,8.859648,993,2.335232
ER_1000_0.75_42.al,988,1.380352,988,8.631040,994,2.298368
ER_1000_0.75_43.al,988,1.382656,988,8.734720,994,2.334720
ER_1000_0.75_44.al,988,1.395968,988,8.622080,994,2.306560
ER_1000_0.75_45.al,988,1.376512,988,8.696064,993,2.258944
ER_1000_0.75_46.al,989,1.383680,987,8.721920,994,2.295552
ER_1000_0.75_47.al,989,1.402112,988,8.721152,992,2.285824
ER_1000_0.75_48.al,988,1.388800,988,8.624128,994,2.319872
ER_1000_0.75_49.al,989,1.384448,988,8.715264,994,2.301952
ER_1000_0.75_4.al,989,1.380096,988,8.706304,994,2.331392
ER_1000_0.75_50.al,989,1.398784,988,8.614144,994,2.296320
ER_1000_0.75_51.al,989,1.385728,988,8.706816,994,2.300160
ER_1000_0.75_52.al,988,1.396224,988,8.715520,994,2.333952
ER_1000_0.75_53.al,989,1.380864,987,8.638976,994,2.268928
ER_1000_0.75_54.al,989,1.370880,988,8.665344,994,2.305536
ER_1000_0.75_55.al,989,1.429504,988,8.680960,993,2.330368
ER_1000_0.75_56.al,990,1.375232,988,8.663296,992,2.283776
ER_1000_0.75_57.al,989,1.395456,989,8.637952,995,2.323200
ER_1000_0.75_58.al,989,1.393408,988,8.646912,995,2.326528
ER_1000_0.75_59.al,989,1.383936,987,8.631040,993,2.303488
ER_1000_0.75_5.al,989,1.381888,989,8.597760,994,2.275584
ER_1000_0.75_60.al,988,1.398016,988,8.682496,995,2.289664
ER_1000_0.75_61.al,988,1.396224,988,8.621056,994,2.290944
ER_1000_0.75_62.al,990,1.379840,988,8.634624,995,2.350848
ER_1000_0.75_63.al,989,1.390592,988,8.704256,994,2.300416
ER_1000_0.75_64.al,989,1.379840,989,8.641024,993,2.293248
ER_1000_0.75_65.al,989,1.392384,989,8.708608,994,2.334720
ER_1000_0.75_66.al,988,1.395200,988,8.614400,995,2.319616
ER_1000_0.75_67.al,990,1.374464,988,8.615168,994,2.291712
ER_1000_0.75_68.al,989,1.392384,988,8.791296,994,2.298624
ER_1000_0.75_69.al,988,1.393920,988,8.655616,994,2.278400
ER_1000_0.75_6.al,989,1.381888,988,8.666880,994,2.297088
ER_1000_0.75_70.al,988,1.387520,988,8.775680,994,2.296320
ER_1000_0.75_71.al,988,1.392640,989,8.693248,994,2.304512
ER_1000_0.75_72.al,989,1.380608,989,8.673280,993,2.320640
ER_1000_0.75_73.al,989,1.377024,988,8.698368,992,2.296064
ER_1000_0.75_74.al,989,1.390336,987,8.779264,994,2.315008
ER_1000_0.75_75.al,989,1.387008,988,8.660736,994,2.279680
ER_1000_0.75_76.al,988,1.385472,988,8.716288,994,2.285312
ER_1000_0.75_77.al,988,1.372672,988,8.654848,993,2.288640
ER_1000_0.75_78.al,989,1.377280,988,8.627456,992,2.309120
ER_1000_0.75_79.al,988,1.383936,988,8.709632,994,2.270464
ER_1000_0.75_7.al,988,1.371904,988,8.745472,994,2.298624
ER_1000_0.75_80.al,988,1.402112,989,8.688384,995,2.332928
ER_1000_0.75_81.al,988,1.413632,989,8.723200,994,2.294784
ER_1000_0.75_82.al,988,1.380352,989,8.722944,995,2.315520
